,name,source,answer,answer_filename
0,Alexej-Georgewitsch-Von-Jawlensky-Mystical-Head-Meditation-S,level_assets/Alexej-Georgewitsch-Von-Jawlensky-Mystical-Head-Meditation-S,1,aaaaa_Alexej-Georgewitsch-Von-Jawlensky-Mystical-Head-Meditation-S.jpg
1,Arshile-Gorky-Waterfall-2--S,level_assets/Arshile-Gorky-Waterfall-2--S,1,aaaaa_Arshile-Gorky-Waterfall-2--S.jpg
2,Gustav-Klimt-The-Tree-of-Life-Stoclet-Frieze-S,level_assets/Gustav-Klimt-The-Tree-of-Life-Stoclet-Frieze-S,1,aaaaa_Gustav-Klimt-The-Tree-of-Life-Stoclet-Frieze-S.jpg
3,Henri-Matisse-Blue-Nude-S,level_assets/Henri-Matisse-Blue-Nude-S,1,aaaaa_Henri-Matisse-Blue-Nude-S.jpg
4,Jackson-Pollock-Number-1-1949-S,level_assets/Jackson-Pollock-Number-1-1949-S,1,aaaaa_Jackson-Pollock-Number-1-1949-S.jpg
5,Joan-Miro-Joan-Mir-Catalan-Landscape-The-Hunter--S,level_assets/Joan-Miro-Joan-Mir-Catalan-Landscape-The-Hunter--S,1,aaaaa_Joan-Miro-Joan-Mir-Catalan-Landscape-The-Hunter--S.jpg
6,Joan-Miro-The-Tilled-Field-S,level_assets/Joan-Miro-The-Tilled-Field-S,1,aaaaa_Joan-Miro-The-Tilled-Field-S.jpg
7,Pablo-Picasso-The-Young-Ladies-of-Avignon-S,level_assets/Pablo-Picasso-The-Young-Ladies-of-Avignon-S,1,aaaaa_Pablo-Picasso-The-Young-Ladies-of-Avignon-S.jpg
8,Pablo-Picasso-Three-Musicians-S,level_assets/Pablo-Picasso-Three-Musicians-S,1,aaaaa_Pablo-Picasso-Three-Musicians-S.jpg
9,Pablo-Picasso-Women-of-Algiers-Version-O--S,level_assets/Pablo-Picasso-Women-of-Algiers-Version-O--S,1,aaaaa_Pablo-Picasso-Women-of-Algiers-Version-O--S.jpg
10,Paul-Klee-Legend-of-the-Nile-S,level_assets/Paul-Klee-Legend-of-the-Nile-S,1,aaaaa_Paul-Klee-Legend-of-the-Nile-S.jpg
11,Peter-Max-Flag-S,level_assets/Peter-Max-Flag-S,1,aaaaa_Peter-Max-Flag-S.jpg
12,Piet-Mondrian-Broadway-Boogie-Woogie-S,level_assets/Piet-Mondrian-Broadway-Boogie-Woogie-S,1,aaaaa_Piet-Mondrian-Broadway-Boogie-Woogie-S.jpg
13,Salvador-Dali-Cubist-Self-portrait-S,level_assets/Salvador-Dali-Cubist-Self-portrait-S,1,aaaaa_Salvador-Dali-Cubist-Self-portrait-S.jpg
14,Sonia-Delaunay-Sarah-Ilinitchna-Stern-Electric-prisms-2--S,level_assets/Sonia-Delaunay-Sarah-Ilinitchna-Stern-Electric-prisms-2--S,1,aaaaa_Sonia-Delaunay-Sarah-Ilinitchna-Stern-Electric-prisms-2--S.jpg
15,Wassily-Kandinsky-Arabs-I-Cemetery--S,level_assets/Wassily-Kandinsky-Arabs-I-Cemetery--S,1,aaaaa_Wassily-Kandinsky-Arabs-I-Cemetery--S.jpg
16,Wassily-Kandinsky-Composition-IX-S,level_assets/Wassily-Kandinsky-Composition-IX-S,1,aaaaa_Wassily-Kandinsky-Composition-IX-S.jpg
17,Wassily-Kandinsky-Composition-VIII-S,level_assets/Wassily-Kandinsky-Composition-VIII-S,1,aaaaa_Wassily-Kandinsky-Composition-VIII-S.jpg
18,Wassily-Kandinsky-Glass-Painting-with-the-Sun-Small-Pleasure,level_assets/Wassily-Kandinsky-Glass-Painting-with-the-Sun-Small-Pleasure,1,aaaaa_Wassily-Kandinsky-Glass-Painting-with-the-Sun-Small-Pleasure.jpg
19,Wassily-Kandinsky-Improvisation+-Gorge-S,level_assets/Wassily-Kandinsky-Improvisation+-Gorge-S,1,aaaaa_Wassily-Kandinsky-Improvisation+-Gorge-S.jpg
20,Wassily-Kandinsky-Several-Circles-Solomon-R+-G-S,level_assets/Wassily-Kandinsky-Several-Circles-Solomon-R+-G-S,1,aaaaa_Wassily-Kandinsky-Several-Circles-Solomon-R+-G-S.jpg
21,Wassily-Kandinsky-Yellow-Red-Blue-S,level_assets/Wassily-Kandinsky-Yellow-Red-Blue-S,1,aaaaa_Wassily-Kandinsky-Yellow-Red-Blue-S.jpg
