,name,source,answer,answer_filename
0,Gustave-Caillebotte-A-Balcony-in-Paris-S,level_assets/Gustave-Caillebotte-A-Balcony-in-Paris-S,1,aaaaa_Gustave-Caillebotte-A-Balcony-in-Paris-S.jpg
1,Gustave-Caillebotte-Paris-street-Rainy-Day-S,level_assets/Gustave-Caillebotte-Paris-street-Rainy-Day-S,1,aaaaa_Gustave-Caillebotte-Paris-street-Rainy-Day-S.jpg
2,Hans-Memling-Scenes-from-the-Passion-of-Christ-left-side--S,level_assets/Hans-Memling-Scenes-from-the-Passion-of-Christ-left-side--S,1,aaaaa_Hans-Memling-Scenes-from-the-Passion-of-Christ-left-side--S.jpg
3,Jan-Vermeer-View-of-Delft-S,level_assets/Jan-Vermeer-View-of-Delft-S,1,aaaaa_Jan-Vermeer-View-of-Delft-S.jpg
4,Jean+Joseph+Benjamin+Constant-The+Throne+Room+In+Byzantium-S,level_assets/Jean+Joseph+Benjamin+Constant-The+Throne+Room+In+Byzantium-S,1,aaaaa_Jean+Joseph+Benjamin+Constant-The+Throne+Room+In+Byzantium-S.jpg
5,Jean-Leon-Gerome-Harem-Women-Feeding-Pigeons-in-a-Courtyard-,level_assets/Jean-Leon-Gerome-Harem-Women-Feeding-Pigeons-in-a-Courtyard-,1,aaaaa_Jean-Leon-Gerome-Harem-Women-Feeding-Pigeons-in-a-Courtyard-.jpg
6,Jean-Leon-Gerome-Public-Prayer-in-the-Mosque-of-Amr-Cairo-S,level_assets/Jean-Leon-Gerome-Public-Prayer-in-the-Mosque-of-Amr-Cairo-S,1,aaaaa_Jean-Leon-Gerome-Public-Prayer-in-the-Mosque-of-Amr-Cairo-S.jpg
7,John+Atkinson+Grimshaw-Canny+Glasgow-S,level_assets/John+Atkinson+Grimshaw-Canny+Glasgow-S,1,aaaaa_John+Atkinson+Grimshaw-Canny+Glasgow-S.jpg
8,John-Atkinson-Grimshaw-Liverpool-from-Wapping-S,level_assets/John-Atkinson-Grimshaw-Liverpool-from-Wapping-S,1,aaaaa_John-Atkinson-Grimshaw-Liverpool-from-Wapping-S.jpg
9,John-Constable-Salisbury-cathedral-S,level_assets/John-Constable-Salisbury-cathedral-S,1,aaaaa_John-Constable-Salisbury-cathedral-S.jpg
10,Max-Beckmann-The-Iron-Bridge-View-of-Frankfurt--S,level_assets/Max-Beckmann-The-Iron-Bridge-View-of-Frankfurt--S,1,aaaaa_Max-Beckmann-The-Iron-Bridge-View-of-Frankfurt--S.jpg
11,Pieter-Bruegel-The-Elder-The-Tower-of-Babel-S,level_assets/Pieter-Bruegel-The-Elder-The-Tower-of-Babel-S,1,aaaaa_Pieter-Bruegel-The-Elder-The-Tower-of-Babel-S.jpg
12,Pieter-Jansz-Saenredam-The-Interior-of-the-Grote-Kerk-at-Haa,level_assets/Pieter-Jansz-Saenredam-The-Interior-of-the-Grote-Kerk-at-Haa,1,aaaaa_Pieter-Jansz-Saenredam-The-Interior-of-the-Grote-Kerk-at-Haa.jpg
13,Sandro-Botticelli-Calumny-of-Apelles-S,level_assets/Sandro-Botticelli-Calumny-of-Apelles-S,1,aaaaa_Sandro-Botticelli-Calumny-of-Apelles-S.jpg
