,name,source,answer,answer_filename
0,Albert-Bierstadt-Rocky-Mountains-S,level_assets/Albert-Bierstadt-Rocky-Mountains-S,1,aaaaa_Albert-Bierstadt-Rocky-Mountains-S.jpg
1,Albert-Bierstadt-Rustic-Mill-S,level_assets/Albert-Bierstadt-Rustic-Mill-S,1,aaaaa_Albert-Bierstadt-Rustic-Mill-S.jpg
2,Albert-Bierstadt-Staubbach-Falls-Near-Lauterbrunnen-Switzerl,level_assets/Albert-Bierstadt-Staubbach-Falls-Near-Lauterbrunnen-Switzerl,1,aaaaa_Albert-Bierstadt-Staubbach-Falls-Near-Lauterbrunnen-Switzerl.jpg
3,Charles-Francois-Daubigny-Harvest-S,level_assets/Charles-Francois-Daubigny-Harvest-S,1,aaaaa_Charles-Francois-Daubigny-Harvest-S.jpg
4,Ivan-Aivazovsky-The-Ninth-Wave-S,level_assets/Ivan-Aivazovsky-The-Ninth-Wave-S,1,aaaaa_Ivan-Aivazovsky-The-Ninth-Wave-S.jpg
5,Katsushika-Hokusai-Fuji-Mountains-in-clear-Weather-Red-Fuji-,level_assets/Katsushika-Hokusai-Fuji-Mountains-in-clear-Weather-Red-Fuji-,1,aaaaa_Katsushika-Hokusai-Fuji-Mountains-in-clear-Weather-Red-Fuji-.jpg
6,Lucas-Cranach-The-Elder-Stag-Hunt-of-Elector-Friedrich-III-t,level_assets/Lucas-Cranach-The-Elder-Stag-Hunt-of-Elector-Friedrich-III-t,1,aaaaa_Lucas-Cranach-The-Elder-Stag-Hunt-of-Elector-Friedrich-III-t.jpg
7,Paul-Cezanne-Mont-Sainte-Victoire-Metropolitan--S,level_assets/Paul-Cezanne-Mont-Sainte-Victoire-Metropolitan--S,1,aaaaa_Paul-Cezanne-Mont-Sainte-Victoire-Metropolitan--S.jpg
8,Pierre-Auguste-Renoir-A-Road-in-Louveciennes-S,level_assets/Pierre-Auguste-Renoir-A-Road-in-Louveciennes-S,1,aaaaa_Pierre-Auguste-Renoir-A-Road-in-Louveciennes-S.jpg
9,Vincent-Van-Gogh-Daubigny-s-Garden-S,level_assets/Vincent-Van-Gogh-Daubigny-s-Garden-S,1,aaaaa_Vincent-Van-Gogh-Daubigny-s-Garden-S.jpg
10,Vincent-Van-Gogh-Green-Wheat-Field-with-Cypress+-Saint-Remy-,level_assets/Vincent-Van-Gogh-Green-Wheat-Field-with-Cypress+-Saint-Remy-,1,aaaaa_Vincent-Van-Gogh-Green-Wheat-Field-with-Cypress+-Saint-Remy-.jpg
11,Vincent-Van-Gogh-Olive-Trees-with-Yellow-Sky-and-Sun-S,level_assets/Vincent-Van-Gogh-Olive-Trees-with-Yellow-Sky-and-Sun-S,1,aaaaa_Vincent-Van-Gogh-Olive-Trees-with-Yellow-Sky-and-Sun-S.jpg
12,Vincent-Van-Gogh-Starry-Night-S,level_assets/Vincent-Van-Gogh-Starry-Night-S,1,aaaaa_Vincent-Van-Gogh-Starry-Night-S+002.jpg
13,William-Merritt-Chase-Terrace-at-the-Mall-Central-Park-S,level_assets/William-Merritt-Chase-Terrace-at-the-Mall-Central-Park-S,1,aaaaa_William-Merritt-Chase-Terrace-at-the-Mall-Central-Park-S.jpg
