,name,source,answer,answer_filename
0,Albrecht-Durer-Christ-as-the-Man-of-Sorrows-S,level_assets/Albrecht-Durer-Christ-as-the-Man-of-Sorrows-S,1,aaaaa_Albrecht-Durer-Christ-as-the-Man-of-Sorrows-S.jpg
1,Alexandre-Cabanel-Fallen-Angel-S,level_assets/Alexandre-Cabanel-Fallen-Angel-S,1,aaaaa_Alexandre-Cabanel-Fallen-Angel-S.jpg
2,Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S,level_assets/Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S,1,aaaaa_Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S.jpg
3,Berthe-Morisot-The-Cradle-S,level_assets/Berthe-Morisot-The-Cradle-S,1,aaaaa_Berthe-Morisot-The-Cradle-S.jpg
4,Caravaggio-Michelangelo-Merisi-Ecce-Homo-S,level_assets/Caravaggio-Michelangelo-Merisi-Ecce-Homo-S,1,aaaaa_Caravaggio-Michelangelo-Merisi-Ecce-Homo-S.jpg
5,Duccio-Di-Buoninsegna-Maest-front-central-panel--S,level_assets/Duccio-Di-Buoninsegna-Maest-front-central-panel--S,1,aaaaa_Duccio-Di-Buoninsegna-Maest-front-central-panel--S.jpg
6,Edouard-Manet-Berthe-Morisot-with-a-bouquet-of-violets-S,level_assets/Edouard-Manet-Berthe-Morisot-with-a-bouquet-of-violets-S,1,aaaaa_Edouard-Manet-Berthe-Morisot-with-a-bouquet-of-violets-S.jpg
7,Edouard-Manet-Luncheon-on-the-Grass-S,level_assets/Edouard-Manet-Luncheon-on-the-Grass-S,1,aaaaa_Edouard-Manet-Luncheon-on-the-Grass-S.jpg
8,Edvard-Munch-The-Scream-S,level_assets/Edvard-Munch-The-Scream-S,1,aaaaa_Edvard-Munch-The-Scream-S+002.jpg
9,Egon-Schiele-Mother-with-Two-Children-S,level_assets/Egon-Schiele-Mother-with-Two-Children-S,1,aaaaa_Egon-Schiele-Mother-with-Two-Children-S.jpg
10,Fernand-Leger-Three-Women-S,level_assets/Fernand-Leger-Three-Women-S,1,aaaaa_Fernand-Leger-Three-Women-S.jpg
11,FridaKahlo-Self-PortraitwithCroppedHair-S,level_assets/FridaKahlo-Self-PortraitwithCroppedHair-S,1,aaaaa_FridaKahlo-Self-PortraitwithCroppedHair-S.jpg
12,Giovanni-Bellini-Madonna-of-the-Meadow-Madonna-del-Prato--S,level_assets/Giovanni-Bellini-Madonna-of-the-Meadow-Madonna-del-Prato--S,1,aaaaa_Giovanni-Bellini-Madonna-of-the-Meadow-Madonna-del-Prato--S.jpg
13,Giuseppe-Arcimboldo-Vortumnus-Vertumno--S,level_assets/Giuseppe-Arcimboldo-Vortumnus-Vertumno--S,1,aaaaa_Giuseppe-Arcimboldo-Vortumnus-Vertumno--S.jpg
14,Hans-Holbein-The-Younger-Portrait-of-Nikolaus-Kratzer-S,level_assets/Hans-Holbein-The-Younger-Portrait-of-Nikolaus-Kratzer-S,1,aaaaa_Hans-Holbein-The-Younger-Portrait-of-Nikolaus-Kratzer-S.jpg
15,Jan-Vermeer-The-Girl-with-a-Pearl-Earring-S,level_assets/Jan-Vermeer-The-Girl-with-a-Pearl-Earring-S,1,aaaaa_Jan-Vermeer-The-Girl-with-a-Pearl-Earring-S.jpg
16,Joan-Miro-Self-Portrait-S,level_assets/Joan-Miro-Self-Portrait-S,1,aaaaa_Joan-Miro-Self-Portrait-S.jpg
17,Leonardo-Da-Vinci-Mona-Lisa-La-Gioconda--S,level_assets/Leonardo-Da-Vinci-Mona-Lisa-La-Gioconda--S,1,aaaaa_Leonardo-Da-Vinci-Mona-Lisa-La-Gioconda--S.jpg
18,Pablo-Picasso-Portrait-of-Maya-with-her-doll-S,level_assets/Pablo-Picasso-Portrait-of-Maya-with-her-doll-S,1,aaaaa_Pablo-Picasso-Portrait-of-Maya-with-her-doll-S.jpg
19,Vincent-Van-Gogh-Self-Portrait-with-Bandaged-Ear-and-Pipe-S,level_assets/Vincent-Van-Gogh-Self-Portrait-with-Bandaged-Ear-and-Pipe-S,1,aaaaa_Vincent-Van-Gogh-Self-Portrait-with-Bandaged-Ear-and-Pipe-S.jpg
