,name,source,answer,answer_filename
0,Caspar-David-Friedrich-Dolmen-in-the-Snow-3--S,level_assets/Caspar-David-Friedrich-Dolmen-in-the-Snow-3--S,1,aaaaa_Caspar-David-Friedrich-Dolmen-in-the-Snow-3--S.jpg
1,Claude-Monet-Irises-in-Monet-s-Garden-S,level_assets/Claude-Monet-Irises-in-Monet-s-Garden-S,1,aaaaa_Claude-Monet-Irises-in-Monet-s-Garden-S.jpg
2,Claude-Monet-Pathway-in-Monet-s-Garden-at-Giverny-S,level_assets/Claude-Monet-Pathway-in-Monet-s-Garden-at-Giverny-S,1,aaaaa_Claude-Monet-Pathway-in-Monet-s-Garden-at-Giverny-S.jpg
3,Claude-Monet-Woman-with-a-Parasol-in-the-Garden-in-Argenteui,level_assets/Claude-Monet-Woman-with-a-Parasol-in-the-Garden-in-Argenteui,1,aaaaa_Claude-Monet-Woman-with-a-Parasol-in-the-Garden-in-Argenteui.jpg
4,Henri-Julien-Felix-Rousseau-Le-Douanier-The-Dream-S,level_assets/Henri-Julien-Felix-Rousseau-Le-Douanier-The-Dream-S,1,aaaaa_Henri-Julien-Felix-Rousseau-Le-Douanier-The-Dream-S.jpg
5,Piet-Mondrian-Study-for-Blue-Apple-Tree-Series-S,level_assets/Piet-Mondrian-Study-for-Blue-Apple-Tree-Series-S,1,aaaaa_Piet-Mondrian-Study-for-Blue-Apple-Tree-Series-S.jpg
6,Rene-Magritte-The-companions-of-fear-S,level_assets/Rene-Magritte-The-companions-of-fear-S,1,aaaaa_Rene-Magritte-The-companions-of-fear-S.jpg
7,Theodore-Clement-Steele-Beech-Trees-S,level_assets/Theodore-Clement-Steele-Beech-Trees-S,1,aaaaa_Theodore-Clement-Steele-Beech-Trees-S.jpg
8,Vincent+Van+Gogh-Bowl+with+Peonies+and+Roses-S,level_assets/Vincent+Van+Gogh-Bowl+with+Peonies+and+Roses-S,1,aaaaa_Vincent+Van+Gogh-Bowl+with+Peonies+and+Roses-S.jpg
9,Vincent+Van+Gogh-Irises-S,level_assets/Vincent+Van+Gogh-Irises-S,1,aaaaa_Vincent+Van+Gogh-Irises-S.jpg
10,Vincent-Van-Gogh-Almond-Tree-in-Blossom-S,level_assets/Vincent-Van-Gogh-Almond-Tree-in-Blossom-S,1,aaaaa_Vincent-Van-Gogh-Almond-Tree-in-Blossom-S.jpg
11,Vincent-Van-Gogh-Branches-with-Almond-Blossom-February-1890-,level_assets/Vincent-Van-Gogh-Branches-with-Almond-Blossom-February-1890-,1,aaaaa_Vincent-Van-Gogh-Branches-with-Almond-Blossom-February-1890-.jpg
12,Vincent-Van-Gogh-Mulberry-Tree-The-S,level_assets/Vincent-Van-Gogh-Mulberry-Tree-The-S,1,aaaaa_Vincent-Van-Gogh-Mulberry-Tree-The-S.jpg
