,name,source,answer,answer_filename
0,Frida-Kahlo-My-Dress-Hangs-There-S,level_assets/Frida-Kahlo-My-Dress-Hangs-There-S,1,aaaaa_Frida-Kahlo-My-Dress-Hangs-There-S.jpg
1,Frida-Kahlo-Tree-of-Hope-S,level_assets/Frida-Kahlo-Tree-of-Hope-S,1,aaaaa_Frida-Kahlo-Tree-of-Hope-S.jpg
2,Giorgio+De+Chirico-Hector+and+Andromache-S,level_assets/Giorgio+De+Chirico-Hector+and+Andromache-S,1,aaaaa_Giorgio+De+Chirico-Hector+and+Andromache-S.jpg
3,Max-Ernst-Of-This-Men-Shall-Know-Nothing-S,level_assets/Max-Ernst-Of-This-Men-Shall-Know-Nothing-S,1,aaaaa_Max-Ernst-Of-This-Men-Shall-Know-Nothing-S.jpg
4,Rene-Magritte-False-Mirror-S,level_assets/Rene-Magritte-False-Mirror-S,1,aaaaa_Rene-Magritte-False-Mirror-S.jpg
5,Rene-Magritte-The-Castle-of-the-Pyrenees-S,level_assets/Rene-Magritte-The-Castle-of-the-Pyrenees-S,1,aaaaa_Rene-Magritte-The-Castle-of-the-Pyrenees-S.jpg
6,Rene-Magritte-The-Magician-S,level_assets/Rene-Magritte-The-Magician-S,1,aaaaa_Rene-Magritte-The-Magician-S.jpg
7,Rene-Magritte-The-Menaced-Assassin-S,level_assets/Rene-Magritte-The-Menaced-Assassin-S,1,aaaaa_Rene-Magritte-The-Menaced-Assassin-S.jpg
8,Rene-Magritte-The-Son-of-Man-S,level_assets/Rene-Magritte-The-Son-of-Man-S,1,aaaaa_Rene-Magritte-The-Son-of-Man-S.jpg
9,Salvador-Dali-Autumn-Cannibalism-S,level_assets/Salvador-Dali-Autumn-Cannibalism-S,1,aaaaa_Salvador-Dali-Autumn-Cannibalism-S.jpg
10,Salvador-Dali-The-Birth-of-Liquid-Desires-S,level_assets/Salvador-Dali-The-Birth-of-Liquid-Desires-S,1,aaaaa_Salvador-Dali-The-Birth-of-Liquid-Desires-S.jpg
11,Salvador-Dali-The-Burning-Giraffe-1937-S,level_assets/Salvador-Dali-The-Burning-Giraffe-1937-S,1,aaaaa_Salvador-Dali-The-Burning-Giraffe-1937-S.jpg
