,name,source,answer,answer_filename
0,Vincent+Van+Gogh-Branches+with+Almond+Blossom-S,level_assets/Vincent+Van+Gogh-Branches+with+Almond+Blossom-S,1,aaaaa_Vincent+Van+Gogh-Branches+with+Almond+Blossom-S.jpg
1,Vincent-Van-Gogh-A-Pair-of-Shoes-2--S,level_assets/Vincent-Van-Gogh-A-Pair-of-Shoes-2--S,1,aaaaa_Vincent-Van-Gogh-A-Pair-of-Shoes-2--S.jpg
2,Vincent-Van-Gogh-Apricot-Trees-in-Blossom-2-S,level_assets/Vincent-Van-Gogh-Apricot-Trees-in-Blossom-2-S,1,aaaaa_Vincent-Van-Gogh-Apricot-Trees-in-Blossom-2-S.jpg
3,Vincent-Van-Gogh-Cypresses-2--S,level_assets/Vincent-Van-Gogh-Cypresses-2--S,1,aaaaa_Vincent-Van-Gogh-Cypresses-2--S.jpg
4,Vincent-Van-Gogh-First-Steps-after-Millet--S,level_assets/Vincent-Van-Gogh-First-Steps-after-Millet--S,1,aaaaa_Vincent-Van-Gogh-First-Steps-after-Millet--S.jpg
5,Vincent-Van-Gogh-Green-Wheat-Field-with-Cypress-S,level_assets/Vincent-Van-Gogh-Green-Wheat-Field-with-Cypress-S,1,aaaaa_Vincent-Van-Gogh-Green-Wheat-Field-with-Cypress-S.jpg
6,Vincent-Van-Gogh-Irises-1889--S,level_assets/Vincent-Van-Gogh-Irises-1889--S,1,aaaaa_Vincent-Van-Gogh-Irises-1889--S.jpg
7,Vincent-Van-Gogh-Les-Alyscamps-S,level_assets/Vincent-Van-Gogh-Les-Alyscamps-S,1,aaaaa_Vincent-Van-Gogh-Les-Alyscamps-S.jpg
8,Vincent-Van-Gogh-Old-Man-in-Sorrow-S,level_assets/Vincent-Van-Gogh-Old-Man-in-Sorrow-S,1,aaaaa_Vincent-Van-Gogh-Old-Man-in-Sorrow-S.jpg
9,Vincent-Van-Gogh-Peach-Trees-in-Blossom-S,level_assets/Vincent-Van-Gogh-Peach-Trees-in-Blossom-S,1,aaaaa_Vincent-Van-Gogh-Peach-Trees-in-Blossom-S.jpg
10,Vincent-Van-Gogh-Portrait-of-Dr+-Gachet-S,level_assets/Vincent-Van-Gogh-Portrait-of-Dr+-Gachet-S,1,aaaaa_Vincent-Van-Gogh-Portrait-of-Dr+-Gachet-S.jpg
11,Vincent-Van-Gogh-Seascape-at-Saintes-Maries-S,level_assets/Vincent-Van-Gogh-Seascape-at-Saintes-Maries-S,1,aaaaa_Vincent-Van-Gogh-Seascape-at-Saintes-Maries-S.jpg
12,Vincent-Van-Gogh-Self-Portrait-2--S,level_assets/Vincent-Van-Gogh-Self-Portrait-2--S,1,aaaaa_Vincent-Van-Gogh-Self-Portrait-2--S.jpg
13,Vincent-Van-Gogh-Self-Portrait-with-a-Grey-Felt-Hat-S,level_assets/Vincent-Van-Gogh-Self-Portrait-with-a-Grey-Felt-Hat-S,1,aaaaa_Vincent-Van-Gogh-Self-Portrait-with-a-Grey-Felt-Hat-S.jpg
14,Vincent-Van-Gogh-Skull-with-Burning-Cigarette-S,level_assets/Vincent-Van-Gogh-Skull-with-Burning-Cigarette-S,1,aaaaa_Vincent-Van-Gogh-Skull-with-Burning-Cigarette-S.jpg
15,Vincent-Van-Gogh-Starry-Night-Over-the-Rhone-S,level_assets/Vincent-Van-Gogh-Starry-Night-Over-the-Rhone-S,1,aaaaa_Vincent-Van-Gogh-Starry-Night-Over-the-Rhone-S.jpg
16,Vincent-Van-Gogh-The-Courtyard-of-the-Hospital-at-Arles-S,level_assets/Vincent-Van-Gogh-The-Courtyard-of-the-Hospital-at-Arles-S,1,aaaaa_Vincent-Van-Gogh-The-Courtyard-of-the-Hospital-at-Arles-S.jpg
17,Vincent-Van-Gogh-The-Night-Cafe-1888--S,level_assets/Vincent-Van-Gogh-The-Night-Cafe-1888--S,1,aaaaa_Vincent-Van-Gogh-The-Night-Cafe-1888--S.jpg
18,Vincent-Van-Gogh-The-Starry-Night-S,level_assets/Vincent-Van-Gogh-The-Starry-Night-S,1,aaaaa_Vincent-Van-Gogh-The-Starry-Night-S.jpg
19,Vincent-Van-Gogh-Vincent-s-Bedroom-in-Arles-First-version--S,level_assets/Vincent-Van-Gogh-Vincent-s-Bedroom-in-Arles-First-version--S,1,aaaaa_Vincent-Van-Gogh-Vincent-s-Bedroom-in-Arles-First-version--S.jpg
