,name,source,answer,answer_filename
0,Adolph-Von-Menzel-The-Flute-Concert-at-Sanssouci-sketch--S,level_assets/Adolph-Von-Menzel-The-Flute-Concert-at-Sanssouci-sketch--S,1,aaaaa_Adolph-Von-Menzel-The-Flute-Concert-at-Sanssouci-sketch--S.jpg
1,Agnolo-Bronzino-Venus-Cupid-and-Time-Allegory-of-Lust--S,level_assets/Agnolo-Bronzino-Venus-Cupid-and-Time-Allegory-of-Lust--S,1,aaaaa_Agnolo-Bronzino-Venus-Cupid-and-Time-Allegory-of-Lust--S.jpg
2,Albert-Bierstadt-Among-the-Sierra-Nevada-Mountains-Californi,level_assets/Albert-Bierstadt-Among-the-Sierra-Nevada-Mountains-Californi,1,aaaaa_Albert-Bierstadt-Among-the-Sierra-Nevada-Mountains-Californi.jpg
3,Albert-Bierstadt-Deer-in-a-Clearing-S,level_assets/Albert-Bierstadt-Deer-in-a-Clearing-S,1,aaaaa_Albert-Bierstadt-Deer-in-a-Clearing-S.jpg
4,Albert-Bierstadt-Forest-Sunrise-S,level_assets/Albert-Bierstadt-Forest-Sunrise-S,1,aaaaa_Albert-Bierstadt-Forest-Sunrise-S.jpg
5,Albert-Bierstadt-Rocky-Mountains-S,level_assets/Albert-Bierstadt-Rocky-Mountains-S,1,aaaaa_Albert-Bierstadt-Rocky-Mountains-S.jpg
6,Albert-Bierstadt-Rustic-Mill-S,level_assets/Albert-Bierstadt-Rustic-Mill-S,1,aaaaa_Albert-Bierstadt-Rustic-Mill-S.jpg
7,Albert-Bierstadt-Staubbach-Falls-Near-Lauterbrunnen-Switzerl,level_assets/Albert-Bierstadt-Staubbach-Falls-Near-Lauterbrunnen-Switzerl,1,aaaaa_Albert-Bierstadt-Staubbach-Falls-Near-Lauterbrunnen-Switzerl.jpg
8,Albert-Charles-Lebourg-Albert-Marie-Lebourg-Rouen-Snow-Effec,level_assets/Albert-Charles-Lebourg-Albert-Marie-Lebourg-Rouen-Snow-Effec,1,aaaaa_Albert-Charles-Lebourg-Albert-Marie-Lebourg-Rouen-Snow-Effec.jpg
9,Albert-Charles-Lebourg-Notre-Dame-de-Paris-and-the-Bridge-of,level_assets/Albert-Charles-Lebourg-Notre-Dame-de-Paris-and-the-Bridge-of,1,aaaaa_Albert-Charles-Lebourg-Notre-Dame-de-Paris-and-the-Bridge-of.jpg
10,Albert-Charles-Lebourg-The-Quays-of-Dieppe-after-the-Rain-S,level_assets/Albert-Charles-Lebourg-The-Quays-of-Dieppe-after-the-Rain-S,1,aaaaa_Albert-Charles-Lebourg-The-Quays-of-Dieppe-after-the-Rain-S.jpg
11,Albert-Edelfelt-The-Artist+s-Son-Erik-in-his-Pram-S,level_assets/Albert-Edelfelt-The-Artist+s-Son-Erik-in-his-Pram-S,1,aaaaa_Albert-Edelfelt-The-Artist+s-Son-Erik-in-his-Pram-S.jpg
12,Albrecht-Altdorfer-The-Battle-of-Alexander-at-Issus-S,level_assets/Albrecht-Altdorfer-The-Battle-of-Alexander-at-Issus-S,1,aaaaa_Albrecht-Altdorfer-The-Battle-of-Alexander-at-Issus-S.jpg
13,Albrecht-Durer-Christ-Among-the-Doctors-S,level_assets/Albrecht-Durer-Christ-Among-the-Doctors-S,1,aaaaa_Albrecht-Durer-Christ-Among-the-Doctors-S.jpg
14,Albrecht-Durer-Christ-as-the-Man-of-Sorrows-S,level_assets/Albrecht-Durer-Christ-as-the-Man-of-Sorrows-S,1,aaaaa_Albrecht-Durer-Christ-as-the-Man-of-Sorrows-S.jpg
15,Albrecht-Durer-Portrait-of-a-Young-Venetian-Woman-S,level_assets/Albrecht-Durer-Portrait-of-a-Young-Venetian-Woman-S,1,aaaaa_Albrecht-Durer-Portrait-of-a-Young-Venetian-Woman-S+002.jpg
16,Albrecht-Durer-Portrait-of-a-Young-Venetian-Woman-S+002,level_assets/Albrecht-Durer-Portrait-of-a-Young-Venetian-Woman-S+002,1,aaaaa_Albrecht-Durer-Portrait-of-a-Young-Venetian-Woman-S.jpg
17,Albrecht-Durer-Self-portrait-at-22-S,level_assets/Albrecht-Durer-Self-portrait-at-22-S,1,aaaaa_Albrecht-Durer-Self-portrait-at-22-S.jpg
18,Albrecht-Durer-The-Altarpiece-of-the-Rose-Garlands-S,level_assets/Albrecht-Durer-The-Altarpiece-of-the-Rose-Garlands-S,1,aaaaa_Albrecht-Durer-The-Altarpiece-of-the-Rose-Garlands-S.jpg
19,Albrecht-Durer-The-Martyrdom-of-the-Ten-Thousand-S,level_assets/Albrecht-Durer-The-Martyrdom-of-the-Ten-Thousand-S,1,aaaaa_Albrecht-Durer-The-Martyrdom-of-the-Ten-Thousand-S.jpg
20,Albrecht-Durer-Young-Hare-S,level_assets/Albrecht-Durer-Young-Hare-S,1,aaaaa_Albrecht-Durer-Young-Hare-S.jpg
21,AlbrechtDurer-Selfportraitdetailface-S,level_assets/AlbrechtDurer-Selfportraitdetailface-S,1,aaaaa_AlbrechtDurer-Selfportraitdetailface-S.jpg
22,Alexandre-Cabanel-Fallen-Angel-S,level_assets/Alexandre-Cabanel-Fallen-Angel-S,1,aaaaa_Alexandre-Cabanel-Fallen-Angel-S.jpg
23,Alexej-Georgewitsch-Von-Jawlensky-Mystical-Head-Meditation-S,level_assets/Alexej-Georgewitsch-Von-Jawlensky-Mystical-Head-Meditation-S,1,aaaaa_Alexej-Georgewitsch-Von-Jawlensky-Mystical-Head-Meditation-S.jpg
24,Alfred-Sisley-Foggy-Morning-Voisins-S,level_assets/Alfred-Sisley-Foggy-Morning-Voisins-S,1,aaaaa_Alfred-Sisley-Foggy-Morning-Voisins-S.jpg
25,Alfred-Sisley-Lane-near-a-Small-Town-S,level_assets/Alfred-Sisley-Lane-near-a-Small-Town-S,1,aaaaa_Alfred-Sisley-Lane-near-a-Small-Town-S.jpg
26,Alfred-Sisley-Moret-sur-Loing-S,level_assets/Alfred-Sisley-Moret-sur-Loing-S,1,aaaaa_Alfred-Sisley-Moret-sur-Loing-S.jpg
27,Alfred-Sisley-Road-to-Louveciennes-S,level_assets/Alfred-Sisley-Road-to-Louveciennes-S,1,aaaaa_Alfred-Sisley-Road-to-Louveciennes-S.jpg
28,Alfred-Sisley-Sunset-at-Port-Marly-S,level_assets/Alfred-Sisley-Sunset-at-Port-Marly-S,1,aaaaa_Alfred-Sisley-Sunset-at-Port-Marly-S.jpg
29,Alfred-Sisley-The-Saint-Martin-Canal-in-Paris-S,level_assets/Alfred-Sisley-The-Saint-Martin-Canal-in-Paris-S,1,aaaaa_Alfred-Sisley-The-Saint-Martin-Canal-in-Paris-S.jpg
30,Alfred-Sisley-The-Seine-at-Point-du-Jour-S,level_assets/Alfred-Sisley-The-Seine-at-Point-du-Jour-S,1,aaaaa_Alfred-Sisley-The-Seine-at-Point-du-Jour-S.jpg
31,AlfredSisley-BridgeatVilleneuvelaGarenne--(1872)(50x65CM)-S,level_assets/AlfredSisley-BridgeatVilleneuvelaGarenne--(1872)(50x65CM)-S,1,aaaaa_AlfredSisley-BridgeatVilleneuvelaGarenne--(1872)(50x65CM)-S.jpg
32,Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S,level_assets/Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S,1,aaaaa_Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S.jpg
33,Amedeo-Modigliani-Seated-Nude-on-Divan-S,level_assets/Amedeo-Modigliani-Seated-Nude-on-Divan-S,1,aaaaa_Amedeo-Modigliani-Seated-Nude-on-Divan-S.jpg
34,Andrea-Mantegna-The-Lamentation-over-the-Dead-Christ-S,level_assets/Andrea-Mantegna-The-Lamentation-over-the-Dead-Christ-S,1,aaaaa_Andrea-Mantegna-The-Lamentation-over-the-Dead-Christ-S.jpg
35,Andrew+Wyeth-Christina+s+World-S,level_assets/Andrew+Wyeth-Christina+s+World-S,1,aaaaa_Andrew+Wyeth-Christina+s+World-S.jpg
36,Andy+Warhol-Marilyn-S,level_assets/Andy+Warhol-Marilyn-S,1,aaaaa_Andy+Warhol-Marilyn-S.jpg
37,Andy-Warhol-Big-electric-chair-S,level_assets/Andy-Warhol-Big-electric-chair-S,1,aaaaa_Andy-Warhol-Big-electric-chair-S.jpg
38,Andy-Warhol-Campbell+S-Soup-Can-beef--S,level_assets/Andy-Warhol-Campbell+S-Soup-Can-beef--S,1,aaaaa_Andy-Warhol-Campbell+S-Soup-Can-beef--S.jpg
39,Andy-Warhol-Campbell+S-Soup-Can-onion--S,level_assets/Andy-Warhol-Campbell+S-Soup-Can-onion--S,1,aaaaa_Andy-Warhol-Campbell+S-Soup-Can-onion--S.jpg
40,Andy-Warhol-Campbell-S-Soup-Can-tomato--S,level_assets/Andy-Warhol-Campbell-S-Soup-Can-tomato--S,1,aaaaa_Andy-Warhol-Campbell-S-Soup-Can-tomato--S.jpg
41,Andy-Warhol-Marilyn-leo-castelli-gallery-new-york-S,level_assets/Andy-Warhol-Marilyn-leo-castelli-gallery-new-york-S,1,aaaaa_Andy-Warhol-Marilyn-leo-castelli-gallery-new-york-S.jpg
42,Andy-Warhol-Red-Race-Riot-S,level_assets/Andy-Warhol-Red-Race-Riot-S,1,aaaaa_Andy-Warhol-Red-Race-Riot-S.jpg
43,Andy-Warhol-Triple-Elvis-S,level_assets/Andy-Warhol-Triple-Elvis-S,1,aaaaa_Andy-Warhol-Triple-Elvis-S.jpg
44,AndyWarhol-Goldmarilynmonroe-S,level_assets/AndyWarhol-Goldmarilynmonroe-S,1,aaaaa_AndyWarhol-Goldmarilynmonroe-S.jpg
45,Annibale-Carracci-River-Landscape-S,level_assets/Annibale-Carracci-River-Landscape-S,1,aaaaa_Annibale-Carracci-River-Landscape-S.jpg
46,Annibale-Carracci-The-Choice-of-Heracles-3--S,level_assets/Annibale-Carracci-The-Choice-of-Heracles-3--S,1,aaaaa_Annibale-Carracci-The-Choice-of-Heracles-3--S.jpg
47,Anthony-Van-Dyck-Rinaldo-and-Armida-S,level_assets/Anthony-Van-Dyck-Rinaldo-and-Armida-S,1,aaaaa_Anthony-Van-Dyck-Rinaldo-and-Armida-S.jpg
48,Anthony-Van-Dyck-Samson-and-Delilah-S,level_assets/Anthony-Van-Dyck-Samson-and-Delilah-S,1,aaaaa_Anthony-Van-Dyck-Samson-and-Delilah-S.jpg
49,Antonio-Allegri-Da-Correggio-Jupiter-and-Io-S,level_assets/Antonio-Allegri-Da-Correggio-Jupiter-and-Io-S,1,aaaaa_Antonio-Allegri-Da-Correggio-Jupiter-and-Io-S.jpg
50,Arnold-Bocklin-La-Guerre-S,level_assets/Arnold-Bocklin-La-Guerre-S,1,aaaaa_Arnold-Bocklin-La-Guerre-S.jpg
51,Arshile-Gorky-One-Year-the-Milkweed-S,level_assets/Arshile-Gorky-One-Year-the-Milkweed-S,1,aaaaa_Arshile-Gorky-One-Year-the-Milkweed-S.jpg
52,Arshile-Gorky-The-Liver-is-the-Cock+s-Comb--S,level_assets/Arshile-Gorky-The-Liver-is-the-Cock+s-Comb--S,1,aaaaa_Arshile-Gorky-The-Liver-is-the-Cock+s-Comb--S.jpg
53,Arshile-Gorky-Waterfall-2--S,level_assets/Arshile-Gorky-Waterfall-2--S,1,aaaaa_Arshile-Gorky-Waterfall-2--S.jpg
54,August-Macke-Bathing-girls-with-town-in-the-backgraund-S,level_assets/August-Macke-Bathing-girls-with-town-in-the-backgraund-S,1,aaaaa_August-Macke-Bathing-girls-with-town-in-the-backgraund-S.jpg
55,August-Macke-Landscape-with-Cows-and-Camel-S,level_assets/August-Macke-Landscape-with-Cows-and-Camel-S,1,aaaaa_August-Macke-Landscape-with-Cows-and-Camel-S.jpg
56,August-Macke-The-Hat-Shop-S,level_assets/August-Macke-The-Hat-Shop-S,1,aaaaa_August-Macke-The-Hat-Shop-S.jpg
57,August-Macke-Woman-in-a-Green-Jacket-S,level_assets/August-Macke-Woman-in-a-Green-Jacket-S,1,aaaaa_August-Macke-Woman-in-a-Green-Jacket-S.jpg
58,Balthus-Balthasar-Klossowski-Girl-with-Cat-S,level_assets/Balthus-Balthasar-Klossowski-Girl-with-Cat-S,1,aaaaa_Balthus-Balthasar-Klossowski-Girl-with-Cat-S.jpg
59,Barnett-Newman-Black-Fire-I-S,level_assets/Barnett-Newman-Black-Fire-I-S,1,aaaaa_Barnett-Newman-Black-Fire-I-S.jpg
60,Benjamin-West-The-Death-of-General-Wolfe-S,level_assets/Benjamin-West-The-Death-of-General-Wolfe-S,1,aaaaa_Benjamin-West-The-Death-of-General-Wolfe-S.jpg
61,Benozzo-Gozzoli-Procession-of-the-Magus-Melchoir-S,level_assets/Benozzo-Gozzoli-Procession-of-the-Magus-Melchoir-S,1,aaaaa_Benozzo-Gozzoli-Procession-of-the-Magus-Melchoir-S.jpg
62,Bernardo-Bellotto-The-Ruins-of-the-Old-Kreuzkirche-in-Dresde,level_assets/Bernardo-Bellotto-The-Ruins-of-the-Old-Kreuzkirche-in-Dresde,1,aaaaa_Bernardo-Bellotto-The-Ruins-of-the-Old-Kreuzkirche-in-Dresde.jpg
